season,teamId,gameType,teamName,teamCity,teamScore,opponentScore,assists,rebounds,blocks,steals,turnovers,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,plusMinusPoints,foulsPersonal,numMinutes,win,gamesPlayed,teamScoreTotal,opponentScoreTotal,assistsTotal,reboundsTotal,blocksTotal,stealsTotal,turnoversTotal,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,proportionThreePoint,losses,team,salary,teamScore_norm,teamScore_rank,assists_norm,assists_rank,rebounds_norm,rebounds_rank,blocks_norm,blocks_rank,steals_norm,steals_rank,turnovers_norm,turnovers_rank,fieldGoalsMade_norm,fieldGoalsMade_rank,fieldGoalsAttempted_norm,fieldGoalsAttempted_rank,threePointersMade_norm,threePointersMade_rank,threePointersAttempted_norm,threePointersAttempted_rank,freeThrowsMade_norm,freeThrowsMade_rank,freeThrowsAttempted_norm,freeThrowsAttempted_rank,fieldGoalsPercentage_norm,fieldGoalsPercentage_rank,threePointersPercentage_norm,threePointersPercentage_rank,freeThrowsPercentage_norm,freeThrowsPercentage_rank,proportionThreePoint_norm,proportionThreePoint_rank,plusMinusPoints_norm,plusMinusPoints_rank,foulsPersonal_norm,foulsPersonal_rank,numMinutes_norm,numMinutes_rank,win_norm,win_rank,losses_norm,losses_rank,gamesPlayed_norm,gamesPlayed_rank,salary_norm,salary_rank
1980-1981,1610612737,Regular Season,Hawks,Atlanta,104.92682926829268,108.02439024390245,,,,,,3291.0,0.0,10.0,0.0,2012.0,2591.0,-3.097560975609756,27.74390243902439,243.0487804878049,31.0,82,8604,8858,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7765341566962563,,51.0,,,0.4403347732181423,22,,,,,,,,,,,0.8670800754920464,20,0.0,3,0.07575757575757576,21,0.0,3,0.8394378194207837,3,0.8463593854375417,3,0.0,1,0.0,1,0.9418621174681935,3,,,0.48715019988577957,26,0.9074166251866599,33,0.18292682926829323,6,0.5,14,0.7538461538461538,20,1.0,1,,
1980-1981,1610612738,Playoffs,Celtics,Boston,103.3529411764706,97.29411764705883,22.833333333333332,47.333333333333336,5.5,6.666666666666667,16.833333333333332,700.0,512.0,10.0,17.0,347.0,458.0,6.0588235294117645,24.705882352941178,240.0,12.0,17,1757,1654,137.0,284.0,33.0,40.0,101.0,1.3671875,0.5882352941176471,0.75764192139738,0.033203125,5.0,,,0.3880701308601195,26,0.1790123456790123,2,1.0,1,0.0,3,0.0,3,1.0,2,0.16850903208411971,24,0.9552238805970149,2,0.07575757575757576,21,1.0,1,0.1303236797274276,26,0.13393453573814296,25,0.0,3,0.0,3,0.7725668255292429,14,1.0,1,0.9159471898410992,3,0.5354141656662667,16,0.0,13,0.1935483870967742,19,0.046153846153846156,3,0.1875,3,,
1980-1981,1610612738,Regular Season,Celtics,Boston,109.85365853658537,103.97560975609755,,,,,,3581.0,0.0,65.0,0.0,1781.0,2367.0,5.878048780487805,24.182926829268293,241.21951219512195,62.0,82,9008,8526,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7524292353189692,,20.0,,,0.6039416846652269,8,,,,,,,,,,,0.9452682663790779,7,0.0,3,0.49242424242424243,3,0.0,3,0.7410562180579217,13,0.7715430861723447,12,0.0,1,0.0,1,0.7258554016310269,15,,,0.9074814391776129,4,0.4713787954206074,10,0.07317073170731694,10,1.0,1,0.27692307692307694,7,1.0,1,,
1980-1981,1610612739,Regular Season,Cavaliers,Cleveland,105.73170731707317,110.58536585365853,,,,,,3557.0,0.0,71.0,0.0,1485.0,1906.0,-4.853658536585366,24.329268292682926,241.21951219512195,28.0,82,8670,9068,0.0,0.0,0.0,0.0,0.0,inf,inf,0.779118572927597,,54.0,,,0.46706263498920086,18,,,,,,,,,,,0.9387975195470477,12,0.0,3,0.5378787878787878,2,0.0,3,0.6149914821124361,23,0.6175684702738811,22,0.0,1,0.0,1,0.96502134100394,2,,,0.40491147915476877,28,0.4892981582877053,13,0.07317073170731694,10,0.45161290322580644,15,0.8,21,1.0,1,,
1980-1981,1610612741,Playoffs,Bulls,Chicago,103.5,107.16666666666667,,,,,,248.0,0.0,3.0,0.0,122.0,160.0,-3.6666666666666665,25.333333333333332,244.16666666666666,2.0,6,621,643,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7625,,4.0,,,0.3929535637149027,25,,,,,,,,,,,0.04664330008088433,30,0.0,3,0.022727272727272728,24,0.0,3,0.034497444633730834,31,0.03440213760855043,30,0.0,1,0.0,1,0.8161005748332144,13,,,0.4604987626118409,27,0.6122448979591836,22,0.24999999999999914,3,0.03225806451612903,23,0.03076923076923077,2,0.05,7,,
1980-1981,1610612741,Regular Season,Bulls,Chicago,108.98780487804878,107.01219512195122,,,,,,3457.0,0.0,38.0,0.0,1985.0,2561.0,1.975609756097561,25.304878048780488,241.21951219512195,45.0,82,8937,8775,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7750878563061304,,37.0,,,0.5751889848812093,10,,,,,,,,,,,0.9118360744135886,17,0.0,3,0.2878787878787879,9,0.0,3,0.82793867120954,4,0.8363393453573814,4,0.0,1,0.0,1,0.9289016687492251,4,,,0.7247287264420332,10,0.6087605774016924,20,0.07317073170731694,10,0.7258064516129032,7,0.5384615384615384,13,1.0,1,,
1980-1981,1610612742,Regular Season,Mavericks,Dallas,101.48780487804878,109.89024390243902,,,,,,3204.0,0.0,46.0,0.0,1868.0,2483.0,-8.0625,24.51219512195122,241.21951219512195,15.0,82,8322,9011,0.0,0.0,0.0,0.0,0.0,inf,inf,0.752315747080145,,67.0,,,0.32613390928725683,27,,,,,,,,,,,0.8436236182259369,22,0.0,3,0.3484848484848485,7,0.0,3,0.7781090289608177,5,0.8102872411489646,7,0.0,1,0.0,1,0.7248384216802998,16,,,0.25464020559680184,33,0.5116973618715779,15,0.07317073170731694,10,0.24193548387096775,18,1.0,24,1.0,1,,
1980-1981,1610612743,Regular Season,Nuggets,Denver,121.78048780487805,122.2560975609756,,,,,,3784.0,0.0,29.0,0.0,2389.0,3051.0,-0.47560975609756095,25.621951219512194,243.35365853658536,37.0,82,9986,10025,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7830219600131104,,45.0,,,1.0,1,,,,,,,,,,,1.0,1,0.0,3,0.2196969696969697,14,0.0,3,1.0,1,1.0,1,0.0,1,0.0,1,1.0,1,,,0.6099371787549972,18,0.6475858636137382,25,0.2012195121951212,4,0.5967741935483871,11,0.6615384615384615,17,1.0,1,,
1980-1981,1610612744,Regular Season,Warriors,Golden State,109.82926829268293,111.01219512195122,,,,,,3560.0,0.0,60.0,0.0,1826.0,2507.0,-1.1829268292682926,26.378048780487806,240.609756097561,39.0,82,9006,9103,0.0,0.0,0.0,0.0,0.0,inf,inf,0.7283605903470283,,43.0,,,0.6031317494600431,9,,,,,,,,,,,0.9396063629010515,11,0.0,3,0.45454545454545453,4,0.0,3,0.760221465076661,7,0.8183032732130928,6,0.0,1,0.0,1,0.5101737624476498,24,,,0.5768132495716733,20,0.7401692384270783,30,0.036585365853659325,12,0.6290322580645161,10,0.6307692307692307,16,1.0,1,,
1980-1981,1610612745,Playoffs,Rockets,Houston,98.04761904761905,98.47619047619048,18.0,42.666666666666664,5.5,7.833333333333333,13.166666666666666,819.0,536.0,8.0,11.0,413.0,550.0,-0.42857142857142855,22.19047619047619,240.0,12.0,21,2059,2068,108.0,256.0,33.0,47.0,79.0,1.5279850746268657,0.7272727272727273,0.7509090909090909,0.020522388059701493,9.0,,,0.2118944770132675,31,0.0,3,0.0,2,0.0,3,0.0760869565217391,2,0.0,1,0.2005931517929361,23,1.0,1,0.06060606060606061,22,0.6470588235294118,2,0.15843270868824533,24,0.1646626586506346,23,0.0,2,0.0,2,0.7122332289453507,18,0.0,2,0.6121400016317207,17,0.22740524781341112,2,0.0,13,0.1935483870967742,19,0.1076923076923077,6,0.2375,2,,
